"ID","datetime_UTC","release_datetime_UTC","Healed.Scars","X_UTM","Y_UTM"
17007,"2017-08-19 00:04:31","2017-08-06 01:24:00",TRUE,509232.023757821,7990737.69917031
17007,"2017-08-19 01:04:31","2017-08-06 01:24:00",TRUE,508590.281504568,7988045.32858243
17007,"2017-08-19 02:04:31","2017-08-06 01:24:00",TRUE,507296.252166622,7984175.76299023
17007,"2017-08-19 03:04:31","2017-08-06 01:24:00",TRUE,507330.214899179,7982997.11627373
17007,"2017-08-19 04:04:31","2017-08-06 01:24:00",TRUE,506745.013394294,7981719.54303845
17007,"2017-08-19 05:04:31","2017-08-06 01:24:00",TRUE,506575.061450893,7981338.9339229
17007,"2017-08-19 06:04:31","2017-08-06 01:24:00",TRUE,507509.717692797,7982164.85280733
17007,"2017-08-19 07:04:31","2017-08-06 01:24:00",TRUE,509002.445655537,7983571.66032704
17007,"2017-08-19 08:04:31","2017-08-06 01:24:00",TRUE,508641.616121402,7984192.71056473
17007,"2017-08-19 09:04:31","2017-08-06 01:24:00",TRUE,508083.140154744,7983009.71533625
17007,"2017-08-19 10:04:31","2017-08-06 01:24:00",TRUE,508098.323338213,7985023.70223021
17007,"2017-08-19 11:04:31","2017-08-06 01:24:00",TRUE,510368.498780917,7989176.96377853
17007,"2017-08-19 12:04:31","2017-08-06 01:24:00",TRUE,513209.935303122,7992723.77109374
17007,"2017-08-19 13:04:31","2017-08-06 01:24:00",TRUE,513979.123956177,7995119.42458144
17007,"2017-08-19 14:04:31","2017-08-06 01:24:00",TRUE,515161.59474774,7995763.2081483
17007,"2017-08-19 15:04:31","2017-08-06 01:24:00",TRUE,511495.419724217,7996242.94253639
17007,"2017-08-19 16:04:31","2017-08-06 01:24:00",TRUE,510068.075403338,7997687.36666925
17007,"2017-08-19 17:04:31","2017-08-06 01:24:00",TRUE,511422.228904361,7995657.13204035
17007,"2017-08-20 03:01:38","2017-08-06 01:24:00",TRUE,517497.981228432,8003106.69059207
17007,"2017-08-20 04:01:38","2017-08-06 01:24:00",TRUE,516995.619236067,8008745.10948409
17007,"2017-08-20 05:01:38","2017-08-06 01:24:00",TRUE,519841.654246641,8013662.08128028
17007,"2017-08-20 06:01:38","2017-08-06 01:24:00",TRUE,514641.064968618,8013677.15717782
17007,"2017-08-20 07:01:38","2017-08-06 01:24:00",TRUE,513597.484633574,8015905.78365669
