"sim","beta_cov_sim","beta_cov_est","beta_cov_SE","beta_cov_95LCI","beta_cov_95UCI","beta_cov_in_95CI","converg.mess","AICc_baseline","AICc_new","deltaAICc"
14,0.5,0.484276268398517,0.0293832554457769,0.426686145976254,0.54186639082078,TRUE,0,37943.8765773935,37945.1691955142,1.29261812071491
15,0.5,0.498109121584811,0.0260258520148964,0.447099388968644,0.549118854200977,TRUE,0,37771.9690220007,37773.3510441909,1.38202219019149
16,0.5,0.509259984761059,0.0293208668009066,0.451792141835786,0.566727827686332,TRUE,0,37817.4469738285,37817.9470481586,0.500074330149801
17,0.5,0.486828319007569,0.0359989308614727,0.416271711037135,0.557384926978003,TRUE,0,38026.7029333784,38024.8864147453,-1.81651863313891
18,0.5,0.496627569320775,0.025866211630315,0.445930726108866,0.547324412532683,TRUE,0,37870.8570378006,37872.7398725215,1.8828347209419
19,0.5,0.518271472662412,0.0261903518946853,0.466939326206399,0.569603619118425,TRUE,0,37806.215075361,37808.2151426635,2.00006730251334
20,0.5,0.440641156600056,0.0275872915796792,0.386571058672879,0.494711254527232,FALSE,0,37954.3489650064,37954.6064415519,0.25747654553561
21,0.5,0.49046946084121,0.0285427490409925,0.434526700701099,0.54641222098132,TRUE,0,37927.9988442956,37929.8673776235,1.86853332790633
22,0.5,0.491634328980508,0.0280274614786207,0.436701513904327,0.546567144056688,TRUE,0,37910.8336006929,37912.4945359089,1.66093521598668
23,0.5,0.509625459330694,0.0294254746119532,0.451952588863268,0.56729832979812,TRUE,0,37914.3409889357,37915.0626058601,0.72161692440568
24,0.5,0.506359703727347,0.024890341599855,0.457575530628732,0.555143876825961,TRUE,0,37751.5164287649,37753.4721871923,1.95575842746621
25,0.5,0.526784962556941,0.0314589126669138,0.465126626736999,0.588443298376883,TRUE,0,37819.8758893566,37821.2303889368,1.35449958017853
26,0.5,0.50551914850339,0.0280283525946464,0.450584586871894,0.560453710134887,TRUE,0,37908.8833326069,37910.8134344803,1.93010187345499
27,0.5,0.465788032950278,0.028104058388515,0.410705090689378,0.520870975211178,TRUE,0,37931.6229540086,37930.5783702554,-1.04458375320974
28,0.5,0.553025843728268,0.0366159944647685,0.481259813319204,0.624791874137333,TRUE,0,37898.680868119,37900.6613250728,1.98045695381006
29,0.5,0.518527412664289,0.0226463835048558,0.47414131661469,0.562913508713888,TRUE,0,37633.6662929449,37635.6522505204,1.98595757554722
30,0.5,0.538001521737437,0.031547900746812,0.476168772485841,0.599834270989033,TRUE,0,37925.3299072081,37926.709185334,1.37927812592534
31,0.5,0.487519459764885,0.0297039826180045,0.429300723636192,0.545738195893578,TRUE,0,37940.4881198772,37942.3455465258,1.85742664859572
32,0.5,0.470934897004808,0.0378229094485807,0.396803356695071,0.545066437314546,TRUE,0,37908.9840098977,37910.8578151199,1.87380522223248
33,0.5,0.49511683762012,0.0300692644723785,0.436182162212648,0.554051513027592,TRUE,0,37849.5343501848,37850.2934830029,0.759132818115177
34,0.5,0.499910702199902,0.0253249398687545,0.450274732146501,0.549546672253304,TRUE,0,37805.8770080528,37806.8299640627,0.952956009845366
